downloaded_at_utc,source_page,source_url,local_path,raw_label,mapped_label,genus_id,gigapan_image_id
2026-03-21T19:56:39.424144+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195725/images.d7f3b4a8906569888f0fef7005442017/195725-612x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g319__img195725__v4.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,319,195725
2026-03-21T19:56:41.236121+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/194412/images.7b8059b666d7e23fd28d629ae6f9ca73/194412-549x240.jpg,macroinvertebrates/stonefly/stonefly-nymph__g5__img194412__v1.jpg,Stonefly Nymph,stonefly,5,194412
2026-03-21T19:56:41.301804+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/190298/images.c544db4ef85a0af02b0d420f767abf89/190298-463x240.jpg,macroinvertebrates/stonefly/stonefly-nymph__g5__img190298__v2.jpg,Stonefly Nymph,stonefly,5,190298
2026-03-21T19:56:43.219999+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195449/images.5de53fe12cb3eec7b6dbbd04f0d5625f/195449-545x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g159__img195449__v1.jpg,Unknown,,159,195449
2026-03-21T19:56:43.287067+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195450/images.68fee3fa2809da89a339708ad8b35182/195450-543x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g159__img195450__v2.jpg,Unknown,,159,195450
2026-03-21T19:56:45.050704+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192354/images.bc5003ca911424a05b212aa1a0686d87/192354-794x240.jpg,macroinvertebrates/crane fly/crane-fly-larva__g176__img192354__v1.jpg,Crane Fly Larva,crane fly,176,192354
2026-03-21T19:56:45.105075+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209266/images.1b2fea4d770b76b5a4ee8527d80d631f/209266-565x240.jpg,macroinvertebrates/crane fly/crane-fly-larva__g176__img209266__v2.jpg,Crane Fly Larva,crane fly,176,209266
2026-03-21T19:56:47.070351+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197256/images.ff210d384c0992e9b970400c893b5fa5/197256-377x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-adult__g130__img197256__v1.jpg,Riffle Beetle (Adult),riffle beetle,130,197256
2026-03-21T19:56:47.133239+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197257/images.7689363c61a89c54ef65631e11395ed1/197257-363x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-adult__g130__img197257__v2.jpg,Riffle Beetle (Adult),riffle beetle,130,197257
2026-03-21T19:56:49.093370+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197484/images.f295846fdb154c1b53261de8668f2a2a/197484-406x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-larva__g773__img197484__v1.jpg,Riffle Beetle (Larva),riffle beetle,773,197484
2026-03-21T19:56:49.172096+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197485/images.9825dcc8a60fc7eba484987085fd6d28/197485-663x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-larva__g773__img197485__v2.jpg,Riffle Beetle (Larva),riffle beetle,773,197485
2026-03-21T19:56:51.052291+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193045/images.cf73a59af5c4e01753be8022510d2fa4/193045-359x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g151__img193045__v1.jpg,Unknown,,151,193045
2026-03-21T19:56:51.128268+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193046/images.712cf0a3412f916912742af4775106cb/193046-335x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g151__img193046__v2.jpg,Unknown,,151,193046
2026-03-21T19:56:52.890786+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/211800/images.d69405fbf29a7fecbd4e472b8f7b7d7e/211800-252x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g66__img211800__v1.jpg,Unknown,,66,211800
2026-03-21T19:56:52.966674+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195962/images.e09e774ddf61cf163b216d88cab8b0e9/195962-592x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g66__img195962__v2.jpg,Unknown,,66,195962
2026-03-21T19:56:53.040582+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195963/images.47dc7fb1222d4de32b97634ae9283a36/195963-251x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g66__img195963__v3.jpg,Unknown,,66,195963
2026-03-21T19:56:54.991309+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/194682/images.0f4bdccbdec4cfdd09c1f61dffa8f894/194682-316x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g19__img194682__v1.jpg,Caddisfly Larva (Net Spinning),caddisfly,19,194682
2026-03-21T19:56:56.766934+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192345/images.0a0675d84fdf45749a1bf36988dadd89/192345-322x240.jpg,macroinvertebrates/damselfly/damselfly-nymph__g256__img192345__v1.jpg,Damselfly Nymph,damselfly,256,192345
2026-03-21T19:56:56.822514+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192386/images.1e0cdb36997c8a47b60434c1c0448099/192386-328x240.jpg,macroinvertebrates/damselfly/damselfly-nymph__g256__img192386__v2.jpg,Damselfly Nymph,damselfly,256,192386
2026-03-21T19:56:58.824554+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209275/images.2960126be5032b560223be95403c0be3/209275-530x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g225__img209275__v1.jpg,Mayfly Nymph,mayfly,225,209275
2026-03-21T19:56:58.882813+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209276/images.0642f678b02b83bdea22be1eb6a7eab0/209276-572x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g225__img209276__v2.jpg,Mayfly Nymph,mayfly,225,209276
2026-03-21T19:57:00.738696+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209272/images.1c6670a1de3dd8fda4e9e59a9a94bc16/209272-472x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g210__img209272__v1.jpg,Mayfly Nymph,mayfly,210,209272
2026-03-21T19:57:00.812742+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209273/images.7ab22cde5fd293cbe03c7f029f4d63f8/209273-450x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g210__img209273__v2.jpg,Mayfly Nymph,mayfly,210,209273
2026-03-21T19:57:02.604553+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/190263/images.7f0395603dd7012bbd49bd66b5af5a83/190263-274x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g294__img190263__v1.jpg,Caddisfly Larva (Net Spinning),caddisfly,294,190263
2026-03-21T19:57:04.345108+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/199865/images.fd38abe4a426e2097e37cec591756cc6/199865-318x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g239__img199865__v1.jpg,Unknown,,239,199865
2026-03-21T19:57:06.148360+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191080/images.55f1122bb4e2d617bf76290d4e40ea89/191080-387x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g326__img191080__v1.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,326,191080
2026-03-21T19:57:06.229758+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191077/images.0dd418f0ba2981e3aece680172e05538/191077-409x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g326__img191077__v2.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,326,191077
2026-03-21T19:57:06.309386+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191081/images.5595b1c99cff678c37b7839852f50d19/191081-380x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g326__img191081__v3.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,326,191081
2026-03-21T19:57:06.388979+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191079/images.f6ab59a65efdad96a301455bb3fb9a5e/191079-452x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g326__img191079__v4.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,326,191079
2026-03-21T19:57:08.114462+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196249/images.ec5ac56d827e7587936c308315609d34/196249-386x240.jpg,macroinvertebrates/aquatic sowbug/sowbug__g108__img196249__v1.jpg,Sowbug,aquatic sowbug,108,196249
2026-03-21T19:57:08.164505+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196251/images.478b4a016199f7cc8e15778d202ad3f5/196251-412x240.jpg,macroinvertebrates/aquatic sowbug/sowbug__g108__img196251__v2.jpg,Sowbug,aquatic sowbug,108,196251
2026-03-21T19:57:09.926723+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209477/images.fd0e8e08f32f0bfc6b4990b566729756/209477-287x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g313__img209477__v1.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,313,209477
2026-03-21T19:57:09.989712+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191354/images.4056a531e7cff0bf9cbe06cdb3a03c1f/191354-248x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g313__img191354__v2.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,313,191354
2026-03-21T19:57:11.934584+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197261/images.a1240409f85c5704f389fe77642d287f/197261-504x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g223__img197261__v1.jpg,Mayfly Nymph,mayfly,223,197261
2026-03-21T19:57:11.993753+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/197262/images.4669a7c58e7f1e5acb3375810a33fbb1/197262-537x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g223__img197262__v2.jpg,Mayfly Nymph,mayfly,223,197262
2026-03-21T19:57:13.739140+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196338/images.af4e9bdc6134aa9242e7bb717004bfee/196338-395x240.jpg,macroinvertebrates/scud/scud__g77__img196338__v1.jpg,Scud,scud,77,196338
2026-03-21T19:57:13.800771+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195908/images.3463bf331bd00f1c735b48501a14b7a8/195908-345x240.jpg,macroinvertebrates/scud/scud__g77__img195908__v2.jpg,Scud,scud,77,195908
2026-03-21T19:57:17.376334+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209293/images.0988a319bbc3ae9ad3af9b9c8fdab4e2/209293-532x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g304__img209293__v1.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,304,209293
2026-03-21T19:57:17.438127+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209294/images.6e0d2ed9da5c79310aa3f25c8c6e22e6/209294-490x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g304__img209294__v2.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,304,209294
2026-03-21T19:57:17.489376+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209295/images.bd84757055a68d650384d917ddee8ffb/209295-521x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g304__img209295__v3.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,304,209295
2026-03-21T19:57:17.553574+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/191346/images.a691924f3271170881569e72fa6e37b5/191346-702x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g304__img191346__v4.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,304,191346
2026-03-21T19:57:19.594552+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209286/images.325b69039e575933d19f50cb6227fd97/209286-612x240.jpg,macroinvertebrates/stonefly/stonefly-nymph__g282__img209286__v1.jpg,Stonefly Nymph,stonefly,282,209286
2026-03-21T19:57:19.670944+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209287/images.d086aa8d8d89480a5354683573871d10/209287-565x240.jpg,macroinvertebrates/stonefly/stonefly-nymph__g282__img209287__v2.jpg,Stonefly Nymph,stonefly,282,209287
2026-03-21T19:57:21.503372+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195694/images.7dc26227d4d3fc8343cd5e3136996d01/195694-450x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g337__img195694__v1.jpg,Caddisfly Larva (Net Spinning),caddisfly,337,195694
2026-03-21T19:57:21.553731+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195695/images.8a6fd1935290effb11260cc0cab71aed/195695-372x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g337__img195695__v2.jpg,Caddisfly Larva (Net Spinning),caddisfly,337,195695
2026-03-21T19:57:21.627650+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195696/images.b5b88f0f040c512b5f20fbb5446c9ecc/195696-494x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g337__img195696__v3.jpg,Caddisfly Larva (Net Spinning),caddisfly,337,195696
2026-03-21T19:57:23.608771+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/190261/images.2bc2ec293748a996d582c05222d4ed56/190261-426x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g328__img190261__v1.jpg,Caddisfly Larva (Net Spinning),caddisfly,328,190261
2026-03-21T19:57:23.687454+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/190096/images.5634dbdbbc000bc45fa76cdc478efbca/190096-606x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g328__img190096__v2.jpg,Caddisfly Larva (Net Spinning),caddisfly,328,190096
2026-03-21T19:57:27.137463+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193248/images.556329c72f4ee38b5fb6907e59557214/193248-385x240.jpg,macroinvertebrates/damselfly/damselfly-nymph__g258__img193248__v1.jpg,Damselfly Nymph,damselfly,258,193248
2026-03-21T19:57:27.202659+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192852/images.dcaa050bf3a2bdc7ba68ba6a1b0678df/192852-355x240.jpg,macroinvertebrates/damselfly/damselfly-nymph__g258__img192852__v2.jpg,Damselfly Nymph,damselfly,258,192852
2026-03-21T19:57:30.915183+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/189030/images.3c53b4c001f651d2fadc2d85dbd762e9/189030-538x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g207__img189030__v1.jpg,Mayfly Nymph,mayfly,207,189030
2026-03-21T19:57:30.978345+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/196088/images.8a11eb7cd6900d4b760f99e0f7031ee8/196088-600x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g207__img196088__v2.jpg,Mayfly Nymph,mayfly,207,196088
2026-03-21T19:57:31.060270+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/189031/images.6694a890b46175c433ce142d408021b0/189031-579x240.jpg,macroinvertebrates/mayfly/mayfly-nymph__g207__img189031__v3.jpg,Mayfly Nymph,mayfly,207,189031
2026-03-21T19:57:32.825065+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192998/images.59aea9b2915ba82be227cfedc4b88260/192998-263x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g138__img192998__v1.jpg,Unknown,,138,192998
2026-03-21T19:57:32.888114+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192999/images.a92e214aa93ed4bc7e8f18fe0a5b1a1a/192999-472x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g138__img192999__v2.jpg,Unknown,,138,192999
2026-03-21T19:57:32.947057+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193000/images.eb50051033982e4c6782568594007c11/193000-354x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g138__img193000__v3.jpg,Unknown,,138,193000
2026-03-21T19:57:38.449604+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195240/images.9013dc6011f48f527b8e8a35a065cea2/195240-748x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g190__img195240__v1.jpg,Unknown,,190,195240
2026-03-21T19:57:42.061721+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193396/images.2fdd5a330451ac27d3a3f70daa5bc91f/193396-758x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-larva__g733__img193396__v1.jpg,Riffle Beetle (Larva),riffle beetle,733,193396
2026-03-21T19:57:42.139472+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193397/images.fe1e2c7820c9d1d1085981c8241dbe7f/193397-578x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-larva__g733__img193397__v2.jpg,Riffle Beetle (Larva),riffle beetle,733,193397
2026-03-21T19:57:42.216726+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193398/images.cadc4c0e876a4e6467a89da258d822a0/193398-765x240.jpg,macroinvertebrates/riffle beetle/riffle-beetle-larva__g733__img193398__v3.jpg,Riffle Beetle (Larva),riffle beetle,733,193398
2026-03-21T19:57:45.914345+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195564/images.2485d9c6a98cfd51b6b4991c27574cf2/195564-388x240.jpg,macroinvertebrates/stonefly/stonefly-nymph__g274__img195564__v1.jpg,Stonefly Nymph,stonefly,274,195564
2026-03-21T19:57:45.990349+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195565/images.4263b85530c488525291dbcdcef52d5f/195565-427x240.jpg,macroinvertebrates/stonefly/stonefly-nymph__g274__img195565__v2.jpg,Stonefly Nymph,stonefly,274,195565
2026-03-21T19:57:47.720567+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195504/images.8221c48b38cd5bf706570e08adbafeff/195504-368x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-net-spinning__g307__img195504__v1.jpg,Caddisfly Larva (Net Spinning),caddisfly,307,195504
2026-03-21T19:57:53.054027+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/209282/images.4d3a95c3fd9390bf1b301dde268a24e6/209282-335x240.jpg,macroinvertebrates/dragonfly/dragonfly-nymph__g262__img209282__v1.jpg,Dragonfly Nymph,dragonfly,262,209282
2026-03-21T19:57:53.137696+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/192058/images.c0fda6483f719280cae941e4bef8d271/192058-332x240.jpg,macroinvertebrates/dragonfly/dragonfly-nymph__g262__img192058__v2.jpg,Dragonfly Nymph,dragonfly,262,192058
2026-03-21T19:57:55.045589+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/195476/images.03ea48796b71b37ea51b7a43a809332f/195476-695x240.jpg,macroinvertebrates/midge/midge-larva__g165__img195476__v1.jpg,Midge Larva,midge,165,195476
2026-03-21T19:57:58.733128+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193228/images.1c1c6218c4ce17defa7cc51c59b21fa2/193228-593x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g729__img193228__v1.jpg,Unknown,,729,193228
2026-03-21T19:57:58.812426+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/193229/images.9280ef7dfc3578d9887ceff84fbaac8c/193229-504x240.jpg,macroinvertebrates/_unmapped/unknown/unknown__g729__img193229__v2.jpg,Unknown,,729,193229
2026-03-21T19:58:00.616283+00:00,https://www.macroinvertebrates.org/quiz/new,https://static.macroinvertebrates.org/gigapans/201006/images.a013b5720ef7d155305edff578cc4152/201006-532x240.jpg,macroinvertebrates/caddisfly/caddisfly-larva-non-net-spinning__g303__img201006__v1.jpg,Caddisfly Larva (Non-Net Spinning),caddisfly,303,201006
